time,open,high,low,close,volume
2021-11-24 20:00:00,116.9,116.9,116.9,116.9,319
2021-11-24 18:45:00,116.9,116.9,116.75,116.9,1220
2021-11-24 18:30:00,116.93,116.93,116.93,116.93,100
2021-11-24 18:15:00,116.9,116.9,116.9,116.9,500
2021-11-24 17:15:00,116.78,116.93,116.73,116.93,407
2021-11-24 16:15:00,116.73,116.95,116.73,116.95,36458
2021-11-24 16:00:00,116.86,116.87,116.67,116.75,320777
2021-11-24 15:45:00,116.89,116.96,116.7801,116.865,134478
2021-11-24 15:30:00,116.86,116.95,116.76,116.89,83180
2021-11-24 15:15:00,116.64,116.86,116.59,116.86,71734
2021-11-24 15:00:00,116.69,116.755,116.615,116.63,69918
2021-11-24 14:45:00,116.47,116.7,116.44,116.69,82707
2021-11-24 14:30:00,116.575,116.63,116.42,116.46,53068
2021-11-24 14:15:00,116.71,116.78,116.51,116.56,69610
2021-11-24 14:00:00,116.4901,116.74,116.4901,116.74,85467
2021-11-24 13:45:00,116.57,116.575,116.4,116.51,55238
2021-11-24 13:30:00,116.6641,116.68,116.49,116.57,63361
2021-11-24 13:15:00,116.67,116.79,116.62,116.66,55688
2021-11-24 13:00:00,116.59,116.69,116.53,116.69,66394
2021-11-24 12:45:00,116.3258,116.59,116.31,116.59,68587
2021-11-24 12:30:00,116.32,116.36,116.24,116.315,57658
2021-11-24 12:15:00,116.3311,116.3876,116.26,116.34,74685
2021-11-24 12:00:00,116.37,116.54,116.3132,116.33,101410
2021-11-24 11:45:00,116.535,116.61,116.27,116.3836,177164
2021-11-24 11:30:00,116.4266,116.5421,116.35,116.5421,86373
2021-11-24 11:15:00,116.35,116.5621,116.31,116.42,82297
2021-11-24 11:00:00,116.2,116.51,116.1391,116.34,106267
2021-11-24 10:45:00,116.43,116.5,116.09,116.205,132750
2021-11-24 10:30:00,116.42,116.66,116.4,116.445,74803
2021-11-24 10:15:00,116.44,116.62,116.27,116.42,104489
2021-11-24 10:00:00,116.9185,117.27,116.46,116.515,146284
2021-11-24 09:45:00,116.16,117.15,116.08,116.875,218238
2021-11-24 09:30:00,116.62,116.62,116.25,116.25,1429
2021-11-24 09:15:00,116.69,116.7375,116.5,116.5,781
2021-11-24 09:00:00,116.5,116.68,116.5,116.68,824
2021-11-24 08:45:00,116.74,116.74,116.74,116.74,2848
2021-11-24 08:30:00,116.9699,116.9699,116.9567,116.96,448
2021-11-24 08:15:00,117.0,117.0,117.0,117.0,1908
2021-11-24 08:00:00,116.81,116.81,116.75,116.75,354
2021-11-24 06:00:00,116.81,116.81,116.76,116.76,643
2021-11-24 05:30:00,116.96,116.96,116.96,116.96,152
2021-11-23 19:30:00,116.81,116.81,116.81,116.81,181
2021-11-23 18:45:00,116.78,116.78,116.78,116.78,180
2021-11-23 18:30:00,116.61,116.61,116.55,116.55,1550
2021-11-23 18:15:00,116.51,116.51,116.51,116.51,301
2021-11-23 18:00:00,116.78,116.78,116.78,116.78,153
2021-11-23 17:45:00,116.77,116.78,116.77,116.78,433
2021-11-23 17:30:00,116.75,116.75,116.51,116.51,484
2021-11-23 17:00:00,116.77,116.79,116.77,116.79,1009
2021-11-23 16:45:00,116.58,116.79,116.58,116.79,1807
2021-11-23 16:30:00,116.7,116.7,116.51,116.51,1041
2021-11-23 16:15:00,116.79,116.8,116.79,116.79,123680
2021-11-23 16:00:00,116.94,117.03,116.76,116.8,585364
2021-11-23 15:45:00,116.79,117.06,116.73,116.96,287485
2021-11-23 15:30:00,116.91,116.94,116.7,116.8,187227
2021-11-23 15:15:00,117.1,117.1,116.88,116.895,147849
2021-11-23 15:00:00,117.21,117.335,117.06,117.1,112856
2021-11-23 14:45:00,117.28,117.35,117.065,117.21,82026
2021-11-23 14:30:00,117.3,117.34,117.17,117.2843,84106
2021-11-23 14:15:00,117.13,117.44,117.06,117.2999,105911
2021-11-23 14:00:00,116.93,117.247,116.9227,117.1221,87982
2021-11-23 13:45:00,116.86,116.98,116.83,116.9343,78560
2021-11-23 13:30:00,117.1,117.19,116.8366,116.8628,124275
2021-11-23 13:15:00,116.821,117.1,116.8,117.1,126058
2021-11-23 13:00:00,117.13,117.1314,116.805,116.835,89537
2021-11-23 12:45:00,117.11,117.255,117.0,117.11,83295
2021-11-23 12:30:00,116.73,117.1,116.6992,117.1,90641
2021-11-23 12:15:00,117.36,117.3629,116.735,116.735,149399
2021-11-23 12:00:00,117.35,117.62,117.12,117.37,115317
2021-11-23 11:45:00,117.82,117.85,117.35,117.35,116751
2021-11-23 11:30:00,117.39,117.94,117.275,117.84,213525
2021-11-23 11:15:00,116.97,117.49,116.79,117.41,197499
2021-11-23 11:00:00,116.9631,117.25,116.875,116.95,159990
2021-11-23 10:45:00,116.79,117.08,116.62,116.94,178703
2021-11-23 10:30:00,116.92,117.2,116.69,116.805,146934
2021-11-23 10:15:00,116.41,117.13,116.32,116.92,207256
